,MonthlyCharges,TotalCharges,Churn
274,70.6,70.6,Yes
275,85.4,401.1,Yes
276,105.05,5624.85,Yes
277,64.95,1339.8,No
278,55.0,771.95,No
279,50.55,244.75,No
280,55.15,322.9,No
281,51.2,498.25,No
282,25.4,25.4,No
283,54.45,3687.75,No
284,95.15,1779.95,Yes
285,76.0,1783.6,No
286,44.35,927.15,No
287,70.0,70,Yes
288,74.5,606.55,Yes
289,44.85,435.4,Yes
290,76.1,1712.7,Yes
291,61.2,2021.2,No
292,86.8,1940.8,No
293,89.35,567.8,No
294,19.7,220.35,No
295,20.25,20.25,No
296,76.05,5436.45,No
297,100.8,3437.5,No
298,74.55,3015.75,No
299,73.6,73.6,Yes
300,64.9,1509.8,No
301,95.45,396.1,Yes
302,90.4,356.65,No
303,60.3,4109,No
304,81.85,3141.7,No
305,24.8,1229.1,No
306,74.9,2303.35,Yes
307,75.55,2054.4,No
308,101.15,3741.85,No
309,78.75,3682.45,No
310,19.25,19.25,No
311,89.05,1886.25,No
312,115.05,4895.1,No
313,69.35,341.6,No
314,80.6,415.55,Yes
315,110.05,5686.4,No
316,19.9,1355.1,No
317,80.3,3058.65,Yes
318,93.15,2231.05,Yes
319,91.5,3236.35,No
320,82.45,4350.1,Yes
321,60.0,4264,No
322,44.8,44.8,No
323,48.6,422.3,No
324,60.05,4176.7,No
325,102.7,5138.1,No
326,82.9,880.05,No
327,70.35,139.05,Yes
328,35.9,973.65,No
329,82.65,1470.05,No
330,19.85,739.35,No
331,19.2,161.95,No
332,94.9,4422.95,No
333,73.85,511.25,Yes
334,80.6,155.8,Yes
335,75.8,5293.95,Yes
336,104.6,4759.85,Yes
337,88.15,6148.45,No
338,94.8,3565.65,No
339,103.4,6603,Yes
340,54.65,1830.1,No
341,85.75,6223.8,No
342,67.45,4508.65,No
343,20.5,1328.15,No
344,20.25,865,No
345,72.1,72.1,No
346,90.4,168.2,Yes
347,19.45,1303.5,No
348,44.95,996.85,No
349,97.0,6430.9,No
350,62.8,2278.75,No
351,44.6,681.4,No
352,89.15,574.35,No
353,84.8,371.9,Yes
354,41.9,840.1,Yes
355,80.25,846,Yes
356,54.1,889,No
357,105.25,6823.4,No
358,30.75,805.1,Yes
359,97.1,4016.75,No
360,20.2,83.75,No
361,98.8,3959.15,No
362,50.3,2878.55,No
363,20.55,945.7,No
364,75.9,1373.05,No
365,96.5,492.55,Yes
366,59.95,1406,No
367,19.15,19.15,No
368,98.65,6962.85,No
369,112.6,8126.65,No
370,20.6,690.25,No
371,85.65,181.5,Yes
372,35.75,830.8,No
373,99.75,5608.4,No
374,96.1,3646.8,No
375,85.1,3662.25,No
376,25.35,25.35,No
377,104.95,2566.5,Yes
378,89.65,5308.7,No
379,86.75,1410.25,No
380,86.2,3339.05,No
381,50.65,50.65,Yes
382,64.8,4732.35,No
383,90.85,90.85,Yes
384,108.1,5067.45,No
385,19.95,214.75,Yes
386,85.45,4874.7,Yes
387,54.75,2348.45,No
388,90.4,4063,No
389,44.0,44,No
390,95.6,2595.25,No
391,84.8,2309.55,No
392,44.3,89.3,No
393,19.9,367.55,No
394,95.05,3944.5,No
395,90.05,5965.95,No
396,109.9,3694.7,No
397,73.95,2524.45,Yes
398,54.6,1803.7,No
399,20.05,415.1,No
400,19.75,624.15,No
401,20.05,237.7,No
402,99.45,7007.6,Yes
403,55.9,3848.8,No
404,19.7,419.4,No
405,19.8,1468.75,No
406,95.4,5812,No
407,93.95,2861.45,No
408,19.9,19.9,Yes
409,19.6,19.6,Yes
410,81.35,233.7,Yes
411,24.45,1066.15,No
412,74.95,2149.05,No
413,87.35,4473,No
414,70.65,3545.05,No
415,73.25,1195.75,No
416,98.7,6858.9,No
417,24.8,1024.7,No
418,83.3,1845.9,Yes
419,75.3,75.3,Yes
420,24.3,132.25,No
421,69.85,515.45,No
422,100.55,2830.45,No
423,25.7,1110.5,No
424,40.7,449.3,No
425,51.65,2838.55,No
426,105.1,5376.4,No
427,85.95,858.6,No
428,75.6,1395.05,No
429,58.25,3975.7,No
430,19.4,1182.55,Yes
431,65.2,4784.45,No
432,53.45,119.5,No
433,45.4,518.9,Yes
434,19.75,899.45,No
435,44.45,1183.8,No
436,20.85,720.05,No
437,114.05,8468.2,No
438,89.85,3161.2,No
439,55.05,55.05,No
440,112.95,1882.55,No
441,101.55,5070.4,No
442,114.65,6049.5,No
443,64.8,1166.7,No
444,80.4,2937.65,No
445,105.9,6396.45,Yes
446,69.55,69.55,Yes
447,25.05,1270.25,No
448,94.75,759.55,No
449,105.5,7611.55,No
450,24.7,1642.75,No
451,69.75,1545.4,No
452,60.2,3582.4,No
453,81.05,2227.1,Yes
454,24.4,1417.9,No
455,104.15,2494.65,No
456,92.9,2768.35,No
457,80.8,2369.3,No
458,20.0,38,No
459,75.1,75.1,No
460,19.65,100.9,No
461,69.45,1614.05,No
462,101.15,385.9,Yes
463,99.8,673.25,Yes
464,116.05,8404.9,No
465,40.05,2799.75,No
466,102.1,6538.45,No
467,89.7,6588.95,No
468,19.9,868.1,No
469,55.95,734.35,Yes
470,20.65,330.6,No
471,55.0,55,Yes
472,70.05,564.4,No
473,53.6,1315.35,No
474,74.7,74.7,Yes
475,80.25,1861.5,Yes
476,76.05,2747.2,No
477,75.7,554.05,No
478,96.1,453.4,Yes
479,69.0,994.8,Yes
480,19.65,225.75,No
481,45.3,2145,Yes
482,81.45,1671.6,No
483,108.5,8003.8,No
484,83.55,680.05,Yes
485,84.5,6130.85,No
486,100.15,1415,No
487,88.6,6201.95,No
488,52.55, ,No
489,74.35,74.35,Yes
490,104.8,6597.25,No
491,59.0,114.15,No
492,74.4,139.4,Yes
493,64.05,3902.6,No
494,20.4,20.4,No
495,43.75,903.6,Yes
496,60.9,1785.65,No
497,19.8,1397.65,No
498,28.45,131.05,Yes
499,99.7,1238.45,Yes
500,116.25,3899.05,No
501,80.7,5676,No
502,65.2,4543.15,No
503,84.05,4326.8,No
504,79.45,5502.55,No
505,94.1,1782.4,Yes
506,78.0,851.8,No
507,94.2,167.5,Yes
508,80.5,502.85,Yes
509,19.85,19.85,No
510,94.3,1818.3,No
511,106.45,6300.15,No
512,74.35,334.8,Yes
513,105.45,5916.95,No
514,95.0,2852.4,No
515,104.8,4131.95,Yes
516,54.3,1546.3,No
517,70.05,302.6,No
518,75.2,1929.35,Yes
519,20.05,265.45,No
520,105.4,6989.45,No
521,51.6,1442,No
522,85.5,4713.4,No
523,75.6,1758.6,Yes
524,100.05,3480,Yes
525,91.25,4738.3,No
526,115.75,8399.15,No
527,94.7,5430.35,No
528,19.6,686.95,No
529,99.9,5706.3,No
530,21.1,490.65,No
531,20.05,1360.25,No
532,79.95,174.45,No
533,107.15,7379.8,No
534,85.0,85,Yes
535,89.55,1021.75,No
536,81.55,5029.05,No
537,58.45,1955.4,No
538,95.65,6744.2,No
539,80.6,4946.7,No
540,113.1,8248.5,No
541,58.95,601.6,No
542,19.55,19.55,No
543,86.05,834.1,Yes
544,45.55,597,Yes
545,78.95,2647.2,No
546,86.3,3266,Yes
547,105.05,6744.25,No
548,101.9,5265.5,No
549,19.75,311.6,No
550,110.3,7966.9,No
551,115.6,8220.4,No
552,19.35,1153.25,No
553,25.6,514.75,No
554,80.35,2596.15,Yes
555,68.75,3808,No
556,19.9,19.9,No
557,70.6,2708.2,No
558,70.2,760.05,No
559,49.3,49.3,No
560,107.25,6033.3,No
561,23.6,89.05,No
562,69.7,516.15,No
563,99.5,5861.75,No
564,64.3,445.95,No
565,70.85,4973.4,No
566,101.9,1667.25,No
567,73.5,5357.75,No
568,100.25,3527.6,Yes
569,40.4,422.6,No
570,19.25,1103.25,No
571,59.6,2754,No
572,64.9,697.25,No
573,100.3,5614.45,Yes
574,110.85,3204.4,No
575,81.05,4747.65,No
576,98.05,3082.1,No
577,70.5,597.9,No
578,94.55,3365.4,No
579,19.65,38.8,No
580,19.0,233.55,Yes
581,75.3,75.3,Yes
582,89.2,346.2,Yes
583,19.0,19,No
584,20.0,61.7,No
585,85.7,85.7,Yes
586,63.25,3342.45,No
587,20.1,85.1,No
588,99.15,7422.1,No
589,90.4,6668.05,No
590,111.9,8071.05,No
591,24.9,1174.8,No
592,83.5,5435,No
593,84.3,2438.6,No
594,45.6,45.6,No
595,61.65,713.75,Yes
596,54.85,916.15,No
597,65.55,237.2,No
598,90.35,4614.55,No
599,20.4,1414.45,No
600,74.55,1170.5,No
601,19.95,47.7,No
602,74.25,4859.25,No
603,108.65,4903.2,No
604,109.55,3608,No
605,86.65,6094.25,No
606,81.0,3084.9,No
607,47.85,2356.75,No
608,114.55,8306.05,No
609,105.25,6786.4,Yes
610,29.95,248.95,Yes
611,65.0,663.05,Yes
612,20.55,1357.1,No
613,109.8,4860.35,No
614,69.5,3418.2,No
615,48.85,631.4,No
616,25.25,186.3,No
617,102.85,6976.75,No
618,87.55,4884.85,No
619,78.55,522.95,No
620,34.55,362.6,No
621,92.05,5755.8,No
622,85.05,3355.65,No
623,19.7,406.95,No
624,20.0,137.6,Yes
625,95.15,2395.7,No
626,84.25,1968.1,No
627,104.6,6819.45,No
628,111.65,7943.45,No
629,90.05,4547.25,Yes
630,110.75,4687.9,Yes
631,55.0,2473.95,No
632,89.85,6562.9,No
633,20.35,176.3,No
634,54.55,2236.2,No
635,105.5,6985.65,Yes
636,99.45,3109.9,No
637,70.9,4911.35,No
638,104.55,5794.65,Yes
639,85.25,855.3,Yes
640,25.4,1620.2,No
641,56.15,2499.3,Yes
642,89.55,89.55,Yes
643,89.85,4287.2,No
644,25.25,394.85,No
645,94.55,1899.65,Yes
646,45.7,45.7,Yes
647,69.65,3442.15,No
648,89.5,161.5,Yes
649,70.0,1732.6,No
650,69.55,222.3,Yes
651,74.6,74.6,Yes
652,20.1,655.3,No
653,24.8,475.25,No
654,19.65,164.3,Yes
655,95.1,865.1,No
656,88.85,6132.7,No
657,78.8,3597.5,No
658,19.85,35.9,Yes
659,20.35,697.65,No
660,24.25,96.05,Yes
661,45.25,428.7,No
662,20.05,20.05,No
663,69.55,4459.15,No
664,19.5,1167.6,No
665,74.75,238.1,No
666,69.65,145.15,Yes
667,30.2,1453.1,No
668,45.65,191.05,Yes
669,57.8,4039.3,No
670,19.85,1039.45,No
671,25.55,1336.1,No
672,75.05,75.05,Yes
673,24.85,493.4,No
674,49.15,2550.9,Yes
675,110.35,7246.15,No
676,24.55,1203.95,No
677,34.7,62.25,Yes
678,107.95,313.6,No
679,81.4,3775.85,No
680,80.0,80,Yes
681,73.8,4616.05,No
682,64.4,195.65,No
683,103.75,4188.4,No
684,71.1,71.1,No
685,49.9,49.9,No
686,24.6,1266.4,No
687,49.25,91.1,Yes
688,30.1,1623.4,No
689,83.4,4149.45,No
690,20.45,20.45,No
691,75.25,2344.5,No
692,20.55,1013.05,No
693,75.1,270.7,Yes
694,20.05,417,No
695,20.65,20.65,No
696,85.15,6316.2,No
697,50.15,168.15,Yes
698,84.95,4018.05,No
699,66.5,4811.6,No
700,63.3,4189.7,No
701,83.15,2848.45,No
702,84.9,2516.2,No
703,20.55,33.6,No
704,49.25,208.45,No
705,79.85,2015.35,Yes
706,59.6,3739.8,No
707,104.65,2964,No
708,75.3,2263.4,No
709,80.1,2211.8,No
710,19.55,19.55,Yes
711,81.0,1683.7,No
712,24.7,1519,No
713,86.0,1164.05,No
714,25.4,1710.9,No
715,89.15,4245.55,No
716,58.25,4145.9,No
717,85.65,2664.3,No
718,50.35,1277.5,No
719,80.35,5589.3,No
720,20.2,34.75,No
721,20.55,1305.95,No
722,85.95,381.3,Yes
723,45.35,141.5,Yes
724,94.5,3105.55,Yes
725,21.25,204.55,No
726,26.25,605.9,No
727,80.85,356.1,No
728,91.7,2758.15,Yes
729,74.2,4805.65,No
730,87.25,3941.7,Yes
731,20.35,92.75,No
732,75.5,1901.05,No
733,79.05,5730.7,No
734,90.15,2423.4,No
735,50.6,1653.45,No
736,110.45,3327.05,No
737,101.0,7085.5,No
738,79.35,3344.1,No
739,89.85,6697.35,No
740,65.0,2879.9,No
741,80.45,137.1,No
742,98.55,1008.55,Yes
743,24.1,1551.6,No
744,44.05,202.15,No
745,110.8,7882.25,No
746,114.95,8196.4,No
747,75.05,202.9,No
748,19.25,855.1,No
749,90.05,5817,No
750,56.7,1652.95,No
751,80.15,5600.15,No
752,71.35,515.75,No
753,20.25, ,No
754,90.35,190.5,No
755,98.55,1842.8,Yes
756,19.7,1253.8,No
757,19.85,57.2,No
758,85.9,1269.55,Yes
759,90.35,6563.4,No
760,20.8,20.8,No
761,89.25,1907.85,Yes
762,70.3,208.85,Yes
763,66.85,4758.8,No
764,19.9,1292.6,No
765,35.8,363.15,No
766,78.85,1600.25,No
767,20.4,275.7,No
768,74.25,3089.1,No
769,64.8,1175.6,No
770,20.45,237.3,No
771,93.35,1444.65,Yes
772,19.9,19.9,Yes
773,88.9,454.15,Yes
774,95.8,3036.75,Yes
775,110.65,8065.65,No
776,40.3,92.5,No
777,82.0,184.65,Yes
778,107.0,6152.3,No
779,45.35,89.5,Yes
780,73.35,5154.5,No
781,44.8,220.45,No
782,54.75,1510.3,No
783,52.2,52.2,Yes
784,40.6,2588.95,No
785,110.0,4874.8,Yes
786,55.3,3983.6,No
787,60.85,2003.6,No
788,78.4,1832.4,No
789,69.65,4908.25,No
790,59.85,3590.2,No
791,76.9,5023,No
792,19.85,146.6,No
793,67.65,2339.3,No
794,45.0,298.7,No
795,64.2,143.65,No
796,81.7,2548.65,No
797,25.55,507.4,No
798,20.0,20,No
799,96.75,6125.4,Yes
800,75.65,5411.4,No
801,98.5,1058.25,Yes
802,23.8,903.8,No
803,64.2,3009.5,No
804,85.35,489.45,Yes
805,76.8,5468.45,No
806,55.2,1058.1,No
807,108.55,7616,No
808,101.3,4113.1,Yes
809,69.55,69.55,Yes
810,103.25,6017.65,Yes
811,104.0,7250.15,Yes
812,25.25,1108.2,No
813,30.4,938.65,No
814,20.05,94.15,No
815,84.6,2088.05,No
816,86.2,178.7,Yes
817,103.7,5656.75,No
818,111.2,2317.1,Yes
819,88.0,5986.45,No
820,106.35,6751.35,No
821,79.15,3566.6,No
822,103.1,4889.3,No
823,63.95,318.1,No
824,25.8,1563.95,No
825,89.45,1430.25,Yes
826,95.6,644.35,Yes
827,25.55,372.45,No
828,90.95,5453.4,Yes
829,44.85,1442.6,No
830,108.55,5610.7,Yes
831,25.05,963.95,No
832,74.1,5222.3,No
833,88.8,3340.55,No
834,78.85,292.8,Yes
835,93.25,5774.55,No
836,71.4,4487.3,No
837,44.4,44.4,Yes
838,79.2,2854.95,No
839,20.4,905.55,No
840,100.0,5509.3,Yes
841,105.0,7589.8,No
842,19.8,229.6,Yes
843,30.85,394.1,No
844,89.9,89.9,Yes
845,20.55,295.95,No
846,84.85,5459.2,No
847,33.15,444.75,No
848,92.0,6782.15,No
849,89.8,6510.45,No
850,115.8,8476.5,No
851,85.15,4461.85,No
852,24.85,62,No
853,64.35,352.65,No
854,20.5,1424.9,No
855,100.15,6413.65,Yes
856,86.05,6309.65,No
857,50.8,50.8,Yes
858,89.0,5898.6,No
859,64.8,4719.75,No
860,19.8,457.3,No
861,93.4,5822.3,No
862,73.65,1463.5,Yes
863,95.1,307.4,Yes
864,94.65,2104.55,Yes
865,80.6,319.15,Yes
866,39.0,2337.45,No
867,20.5,104.3,No
868,85.55,5084.65,Yes
869,26.4,121.25,No
870,98.2,7015.9,No
871,97.55,5598,No
872,19.95,1269.1,No
873,50.8,3027.4,Yes
874,99.7,4634.35,No
875,34.8,113.95,No
876,105.1,1582.75,Yes
877,60.15,3077,No
878,64.75,4039.5,No
879,54.65,1665.2,No
880,110.1,1043.3,Yes
881,19.3,504.2,No
882,83.9,497.55,Yes
883,111.25,7511.65,No
884,35.8,1782,No
885,20.05,20.05,No
886,84.35,609.65,No
887,110.5,2857.6,No
888,91.2,3247.55,No
889,100.55,6215.35,Yes
890,89.3,2823,No
891,103.85,5017.9,Yes
892,81.1,2619.25,No
893,24.6,24.6,Yes
894,81.2,4965.1,No
895,94.3,2679.7,No
896,116.1,8310.55,No
897,105.55,5682.25,No
898,98.9,1120.95,Yes
899,94.4,4914.9,No
900,19.5,27.55,No
901,98.3,923.5,Yes
902,93.85,1625.65,Yes
903,105.6,6068.65,No
904,81.35,5398.6,No
905,100.5,918.6,Yes
906,56.4,234.85,No
907,65.35,1231.85,No
908,19.95,170.9,No
909,111.25,7984.15,No
910,72.85,688.65,Yes
911,89.0,1288.3,No
912,106.1,7848.5,No
913,20.05,267,No
914,25.2,1798.9,No
915,73.55,73.55,Yes
916,75.4,1643.55,No
917,65.55,4807.45,No
918,80.7,2193,No
919,104.55,2239.4,No
920,24.15,1505.9,No
921,20.45,255.35,No
922,75.4,1189.4,No
923,79.7,4786.15,No
924,81.7,1820.9,No
925,76.3,2404.15,No
926,79.4,205.05,Yes
927,81.15,952.3,Yes
928,103.75,7039.45,No
929,86.45,2538.05,No
930,75.1,1212.85,No
931,80.6,2651.1,No
932,19.3,1304.8,No
933,84.6,360.1,Yes
934,33.6,435.45,No
935,83.25,308.05,No
936,80.85, ,No
937,79.05,434.5,Yes
938,108.05,7118.9,No
939,19.9,320.45,No
940,21.05,531.55,No
941,30.15,382.2,No
942,79.85,2001,No
943,65.5,4919.7,No
944,104.1,5645.8,No
945,74.4,215.8,Yes
946,20.5,77.6,No
947,91.35,2896.55,No
948,99.05,3395.8,Yes
949,20.5,759.35,No
950,44.95,85.15,Yes
951,75.6,535.55,No
952,55.1,1253.15,No
953,58.95,955.15,No
954,95.1,2162.6,No
955,44.7,44.7,Yes
956,25.45,1813.35,No
957,56.75,245.15,No
958,81.75,2028.8,No
959,86.1,2723.75,No
960,29.8,220.45,No
961,20.5,365.8,No
962,60.9,551.95,No
963,73.25,4054.2,No
964,45.7,45.7,Yes
965,100.3,832.35,Yes
966,19.25,112.3,Yes
967,20.85,60.65,No
968,77.35,5550.1,No
969,96.0,174.8,Yes
970,90.55,90.55,Yes
971,93.85,4733.1,No
972,70.1,4048.95,No
973,30.35,1359.7,Yes
974,75.95,4542.35,No
975,108.05,7532.15,Yes
976,69.9,69.9,Yes
977,75.25,888.65,No
978,103.75,6383.35,Yes
979,54.95,1916,No
980,19.5,413,No
981,19.6,808.95,No
982,47.85,1886.4,No
983,86.6,86.6,Yes
984,23.75,1679.25,No
985,80.6,2656.5,Yes
986,43.8,540.95,No
987,19.75,19.75,No
988,19.15,537.35,No
989,19.6,678.8,No
990,80.3,4513.65,No
991,24.35,1423.85,No
992,25.25,555.4,No
993,26.1,225.55,No
994,20.0,268.45,No
995,85.3,2917.5,Yes
996,70.0,2416.1,Yes
997,94.3,424.45,Yes
998,20.7,1492.1,No
999,70.3,132.4,No
1000,95.35,660.9,Yes
1001,75.5,1893.95,Yes
1002,69.55,284.9,No
1003,19.85,784.25,No
1004,20.0,417.7,No
1005,95.85,5016.25,No
1006,90.1,1612.75,Yes
1007,68.95,119.75,Yes
1008,99.55,3204.65,Yes
1009,20.75,485.2,No
1010,50.15,160.85,No
1011,58.65,4145.25,No
1012,95.9,827.45,No
1013,49.5,49.5,No
1014,57.45,990.85,Yes
1015,53.65,696.35,Yes
1016,80.1,5585.4,No
1017,24.4,1601.2,No
1018,40.05,162.45,No
1019,19.5,470.2,No
1020,51.05,2066,No
1021,54.35,1426.45,No
1022,84.7,392.5,No
1023,86.1,3861.45,No
1024,70.35,2552.9,No
1025,110.0,6668.35,No
1026,100.6,819.4,Yes
1027,94.9,4615.25,No
1028,83.75,2070.6,Yes
1029,88.3,273.75,Yes
1030,69.75,3557.7,No
1031,71.6,1957.1,No
1032,92.1,729.95,Yes
1033,23.65,1416.75,No
1034,81.85,5924.4,No
1035,25.1,1697.7,No
1036,114.7,7849.85,No
1037,49.15,649.4,No
1038,80.9,4557.5,No
1039,79.45,3013.05,Yes
1040,90.45,1266.1,Yes
1041,19.3,360.35,No
1042,70.2,1046.5,No
1043,69.75,2347.9,Yes
1044,54.25,447.75,No
1045,99.3,4209.95,No
1046,74.0,3877.65,No
1047,50.25,152.3,No
1048,19.8,572.2,No
1049,19.65,19.65,Yes
1050,43.65,526.95,Yes
1051,35.5,552.7,No
1052,80.75,3208.65,No
1053,39.5,210.75,Yes
1054,97.1,3706.95,Yes
1055,19.55,620.75,No
1056,80.0,412.5,Yes
1057,84.7,832.05,Yes
1058,89.55,185.55,Yes
1059,90.6,1943.2,Yes
1060,20.05,505.9,No
1061,112.4,8046.85,No
1062,50.2,1815.3,No
1063,62.25,612.95,No
1064,55.7,795.15,No
1065,90.05,2169.8,Yes
1066,19.65,973.1,No
